部件ID,对象类型,对象句柄,起点X,起点Y,终点X,终点Y,圆心X,圆心Y,半径,起始角度(°),总角度(°)
A14,ARC,3C73B,172.242839,158.627184,172.257707,158.641686,171.855583,159.039079,0.565354,313.234054,2.104958
A14,ARC,3C73A,172.257707,158.641686,172.272049,158.657096,172.019023,158.878204,0.336023,315.261064,3.590103
A14,ARC,3C739,172.272049,158.657096,172.354416,158.752981,166.293167,163.876322,7.936457,318.880879,0.912571
A14,ARC,3C738,172.354416,158.752981,172.571312,159.023691,168.005183,162.459894,5.714633,319.558577,3.478433
A14,ARC,3C737,172.571312,159.023691,172.95001,159.643988,169.716482,161.192341,3.585122,322.778154,11.634728
A14,ARC,3C736,172.95001,159.643988,173.125368,160.061308,168.448202,161.781154,4.983347,334.604661,5.206298
A14,ARC,3C735,173.125368,160.061308,173.25593,160.437713,163.663777,163.554059,10.085683,339.738353,2.263451
A14,ARC,3C734,173.25593,160.437713,173.448255,161.059141,148.444441,168.457065,26.075275,342.088584,1.429415
A14,ARC,3C733,173.448255,161.059141,173.825262,162.336115,-366.060291,321.034838,562.727016,343.483796,0.135567
A14,ARC,3C732,174.171099,163.480958,173.825262,162.336115,291.814799,127.318148,123.076354,162.912956,0.556748
A14,ARC,3BDB2,180.570321,169.647969,180.305419,169.775474,180.425129,169.685252,0.149902,345.598148,157.397568
A22-2,LINE,3BDB1,124.463954,171.812372,123.171308,171.812372,,,,,
A22-2,LINE,3BDB0,129.376831,171.812372,124.813954,171.812372,,,,,
A22-2,LINE,3BDAF,131.027512,171.812372,129.726831,171.812372,,,,,
A22-2,ARC,3BDAE,129.377935,181.301122,128.527512,180.312372,129.527512,180.312372,1,98.602445,81.397555
A22-2,ARC,3BDAA,130.527512,180.312372,129.67709,181.301122,129.527512,180.312372,1,0,81.397555
A22-2,ARC,3BDA9,124.521731,181.301122,123.671308,180.312372,124.671308,180.312372,1,98.602445,81.397555
A22-2,ARC,3BDA8,125.671308,180.312372,124.820886,181.301122,124.671308,180.312372,1,0,81.397555
